Time (ms),2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2 fitted model: ,
212.99200000000002,0.003216364666042239,0.006929822523949895,0.0007249230547280059,0.005918028270048791,0.0005212985232742022,0.0052818796259624275,
229.376,0.005744165865924873,0.006915973849862284,0.0032151411139590465,0.005905976784003759,-0.0008817814010789964,0.0052699640513298365,
245.76,0.00005665605469443147,0.006904373342398197,0.0024762121473663316,0.005895883427019417,0.0004733065588247974,0.005259984378118262,
262.144,0.003503080217075748,0.0068945412602406135,0.0020261846688935546,0.0058873300094314795,-0.0016121665023542506,0.0052515271924493045,
294.91200000000003,0.00405192119605021,0.006878846572120636,-0.0005609229436413638,0.005873678941177171,-0.0003744967079192472,0.005238029495442547,
327.68,0.0006775104932951861,0.006866947895970538,-0.00297266016761878,0.0058633317752445424,0.001002322931038379,0.00522779839777509,
360.448,0.003434693598338318,0.006857673585866587,0.0003043858180294776,0.005855268149464042,-0.002139265228229172,0.005219825108960631,
393.216,0.00288676392648636,0.006850279164182699,0.00045556283014869015,0.0058488399155705,-0.002687797848250081,0.005213468814189619,
425.98400000000004,-0.0031849222016169815,0.0068442712753267266,0.0019385820956225697,0.005843617664487548,-0.0005204008308620155,0.0052083049536148784,
458.752,0.0006264248590434829,0.006839311392239756,0.001084378367459755,0.005839306811011921,0.0027023808100344075,0.005204042263365501,
491.52,0.00007983513652409305,0.006835160309827458,-0.00002601397742833036,0.005835699237817728,-0.000797370623772808,0.005200474969333505,
524.288,-0.0009177602447840526,0.006831644713518612,0.001905318968993134,0.005832644178646074,-0.0008274557612543637,0.005197454000742803,
589.8240000000001,0.0010625665819283614,0.006826038174504306,0.000029383856182815675,0.005827772548681606,0.0010614409414486162,0.005192636693045182,
655.36,0.0006956815117787635,0.006821792235468349,0.0013147681824900606,0.005824083566993771,0.00045720525282668973,0.005188988812791968,
720.896,0.00019758562464273113,0.00681848566362137,0.002975099362110773,0.005821210981981452,-0.000979467715969576,0.005186148212107678,
786.432,-0.0006720043321733316,0.006815851230536614,0.0013169289459895215,0.005818922482375312,0.0010990459983529891,0.005183885179547485,
851.9680000000001,0.001016779383664106,0.00681371208064544,-0.0023694552539435575,0.005817064341579425,-0.0007519279702458437,0.005182047707177866,
917.504,0.000786077465969783,0.006811946994528361,0.0001268525976439008,0.005815531204763914,-0.0019867844943522585,0.0051805316170534434,
983.04,-0.0013442167469607696, ,0.00012524965287099074, ,-0.0004986651479367051, ,
1048.576,-0.001418076539436139, ,-0.0005562226900258437, ,-0.00009504269974524157, ,
1179.6480000000001,-0.0015858178198238752, ,-0.00029712932375025494, ,0.0010794672128974666, ,
1310.72,-0.000401413219228296, ,-0.0008604401573019576, ,0.00031847844286735674, ,
1441.792,0.00030572515814554453, ,0.0005969841958538381, ,0.000022391789111568755, ,
1572.864,-0.0009085082693150457, ,-0.00006627032423495281, ,-0.001325577439000142, ,
1703.9360000000001,0.0010516322250692157, ,0.000033450715048076285, ,0.0015857430854970317, ,
1835.008,-0.0008723332803040712, ,-0.0008943441734107605, ,-0.0004797443616032565, ,
1966.08,-0.00003601736881928738, ,-0.002283637406592971, ,-0.00009874992832828353, ,
